,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
87,Big,Mona Lisa,delta,Adagrad,0.01,0.001,39,0.9290322580645162,0.8548387096774194,0.8354838709677419,177.38,2.1,0.9237680128091086
58,Big,Necker cube,theta,Adagrad,0.01,0.001,48,0.944758064516129,0.8612903225806452,0.8354838709677419,229.05,2.16,0.9255915317559154
147,Small,Necker cube,alpha,Adagrad,1e-05,1e-05,47,0.9625,0.8548387096774194,0.832258064516129,221.34,2.15,0.9198541184842556
119,CNN,Mona Lisa,theta,Adagrad,0.001,0.001,24,0.8875,0.7677419354838709,0.832258064516129,116.94,2.27,0.8593666607365237
60,Small,Mona Lisa,theta,Adagrad,1e-05,1e-05,24,0.9504032258064516,0.8193548387096774,0.832258064516129,129.27,2.5,0.9217665895748088
56,CNN,Mona Lisa,gamma,Adam,0.001,0.001,5,0.9512096774193548,0.864516129032258,0.8290322580645161,23.78,2.21,0.8555861946272905
152,Small,Mona Lisa,alpha,SGD,1e-05,1.0000000000000002e-07,73,0.9512096774193548,0.8290322580645161,0.8290322580645161,323.4,2.08,0.9205212595623554
8,CNN,Mona Lisa,gamma,NAdam,0.001,0.001,37,0.9342741935483873,0.8580645161290322,0.8290322580645161,175.96,2.19,0.8554082903397973
136,CNN,Necker cube,gamma,Adagrad,0.001,0.001,16,0.9532258064516128,0.8290322580645161,0.8258064516129032,78.15,2.23,0.8525173456680306
171,CNN,Necker cube,gamma,Adam,0.001,0.001,13,0.9189516129032258,0.8,0.8258064516129032,64.09,2.26,0.8523394413805373
43,Big,Mona Lisa,theta,RMSprop,0.01,1.0000000000000002e-06,77,0.9366935483870968,0.8225806451612904,0.8258064516129032,416.92,2.53,0.9143835616438356
104,Big,Necker cube,alpha,Adamax,0.01,1e-05,62,0.9512096774193548,0.8387096774193549,0.8258064516129032,296.05,2.19,0.920076498843622
153,CNN,Mona Lisa,alpha,Adamax,0.001,0.001,12,0.9326612903225806,0.8225806451612904,0.8258064516129032,55.76,2.17,0.8526952499555239
184,Big,Necker cube,beta,RMSprop,0.01,0.01,8,0.8790322580645161,0.8451612903225807,0.8258064516129032,38.23,2.19,0.9182974559686888
